epsilon,simulation,time_step,clustering,path_length,omega,s1,s2,<s>,<s>_std,n_s,N
0.1,1,0,0.1772904459531973,1.8220066889632107,0.9929355382923116,55,43,37.5,7.874007874011811,8,300
0.1,1,1000,0.1774764839444003,1.8220066889632107,0.9947104742622536,51,46,33.333333333333336,10.306416555826871,9,300
0.1,1,2000,0.17766679967618,1.8220289855072465,0.9949029768109005,54,44,37.5,8.108637370113428,8,300
0.1,1,3000,0.1788558115329456,1.821984392419175,1.0033626835996934,50,49,37.5,8.440971508067067,8,300
0.1,1,4000,0.1795945423260526,1.822051282051282,1.0141599031369015,50,49,37.5,8.986100377805714,8,300
0.1,1,5000,0.1789745764504367,1.8220289855072465,1.0088038877878451,58,50,42.85714285714285,10.105565247901367,7,300
0.1,1,6000,0.1800497291278219,1.822051282051282,1.0111185170036323,54,52,37.5,11.6940155635265,8,300
0.1,1,7000,0.1808183300921061,1.8220289855072465,1.0208208714956422,57,48,33.333333333333336,12.587471725666138,9,300
0.1,1,8000,0.1806749804647595,1.8221404682274247,1.0185337921930575,56,51,33.333333333333336,12.498888839501785,9,300
0.1,1,9000,0.1802211084899327,1.8220289855072465,1.0112091090519912,51,48,33.333333333333336,10.81151649348457,9,300
0.1,1,10000,0.1798535473651665,1.8220958751393532,1.0090428071679625,64,57,37.5,15.041608956491324,8,300
0.1,1,11000,0.1811506056191819,1.8220289855072465,1.0115132204440187,49,42,33.333333333333336,9.72967967955095,9,300
0.1,1,12000,0.1817213154984124,1.8220289855072465,1.0226974596024636,53,47,33.333333333333336,11.935009193312103,9,300
0.1,1,13000,0.1804068030970711,1.822051282051282,1.0138852946804318,49,46,37.5,7.745966692414834,8,300
0.1,1,14000,0.1800063535728115,1.8220066889632107,1.011670225994137,55,48,37.5,11.916375287812984,8,300
0.1,1,15000,0.1797952829251879,1.8220735785953175,1.021579034167544,56,54,37.5,11.9895788082818,8,300
0.1,1,16000,0.1799174247984845,1.822051282051282,1.0116563029472363,54,49,37.5,10.665364503850771,8,300
0.1,1,17000,0.1802520199762924,1.8220066889632107,1.012229021885437,56,46,37.5,11.6081867662439,8,300
0.1,1,18000,0.1804920771652107,1.822051282051282,1.012210095541238,52,50,37.5,8.215838362577491,8,300
0.1,1,19000,0.1801193168079604,1.8220289855072465,1.0055616212204377,42,38,33.333333333333336,5.163977794943222,9,300
0.1,1,20000,0.1786952656853422,1.8220289855072465,1.0009327469586415,51,47,37.5,9.565563234854496,8,300
0.1,1,21000,0.1790066034385789,1.8220289855072465,1.004177704334605,47,46,33.333333333333336,11.489125293076055,9,300
0.1,1,22000,0.1802377183773187,1.8220289855072465,1.0107620692900692,60,50,42.85714285714285,9.948848769417229,7,300
0.1,1,23000,0.1798530925403176,1.821984392419175,1.0197752570649052,48,44,33.333333333333336,9.865765724632494,9,300
0.1,1,24000,0.1790580558845186,1.8220735785953175,1.0021003071886632,55,52,42.85714285714285,9.402561526802478,7,300
0.1,1,25000,0.1801720033608671,1.8220735785953175,1.0033434017787477,54,44,37.5,9.526279441628825,8,300
0.1,1,26000,0.1828882412323944,1.8220958751393532,1.028555021310345,54,50,42.85714285714285,8.149120398258093,7,300
0.1,1,27000,0.1824314721363091,1.8220735785953175,1.0184300737517458,62,43,42.85714285714285,8.166631958832259,7,300
0.1,1,28000,0.1823010459429785,1.8220735785953175,1.022333728014478,42,40,33.333333333333336,6.110100926607787,9,300
0.1,1,29000,0.1812800264340924,1.822118171683389,1.025362175130384,53,48,33.333333333333336,11.32352516764202,9,300
0.1,1,30000,0.1812311891945632,1.822051282051282,1.0125227989094638,55,52,42.85714285714285,12.35693641446052,7,300
0.1,1,31000,0.1810275532813302,1.8221404682274247,1.0182483688144626,53,43,33.333333333333336,11.274356350191844,9,300
0.1,1,32000,0.1821967988391319,1.822185061315496,1.0203849682855295,49,47,33.333333333333336,9.189365834726814,9,300
0.1,1,33000,0.1813501428062952,1.8220735785953175,1.0198494065995547,54,53,42.85714285714285,10.259888211985986,7,300
0.1,1,34000,0.1819207663214595,1.8220958751393532,1.016595638168676,47,45,37.5,6.652067347825035,8,300
0.1,1,35000,0.1811499680138747,1.8221404682274247,1.0177736494410634,54,54,42.85714285714285,12.088111886460672,7,300
0.1,1,36000,0.1797324755978518,1.8221404682274247,1.0056131418355954,60,45,37.5,10.124228365658292,8,300
0.1,1,37000,0.1810620853212342,1.8220735785953175,1.0219639890922017,54,47,37.5,12.093386622447824,8,300
0.1,1,38000,0.1797867854312728,1.821984392419175,1.0159939555515287,66,60,42.85714285714285,13.736589007137848,7,300
0.1,1,39000,0.1809778429326452,1.8220289855072465,1.0156837412622572,63,48,37.5,12.884098726725126,8,300
0.1,1,40000,0.1819935566389706,1.822118171683389,1.0170867035494917,53,38,33.333333333333336,9.321420969406375,9,300
0.1,1,41000,0.1816016027661236,1.8220066889632107,1.021616315138555,49,47,37.5,7.952986860293433,8,300
0.1,1,42000,0.1815088562240685,1.822185061315496,1.0095522057192223,47,40,33.333333333333336,8.96908269804914,9,300
0.1,1,43000,0.1816045462368575,1.822051282051282,1.0174498651784798,61,52,42.85714285714285,10.933938924658545,7,300
0.1,1,44000,0.1805753140924298,1.822051282051282,1.0189572826547957,63,45,37.5,12.389511693363866,8,300
0.1,1,45000,0.1819893205177244,1.822051282051282,1.020249807865934,56,51,33.333333333333336,12.463279397226612,9,300
0.1,1,46000,0.1814512849178527,1.8220289855072465,1.0305903590118333,43,41,33.333333333333336,6.683312551921141,9,300
0.1,1,47000,0.1808159699373218,1.8221404682274247,1.011798976479817,61,50,42.85714285714285,9.612916480720411,7,300
0.1,1,48000,0.1816980654135639,1.8221404682274247,1.016344507848206,64,53,42.85714285714285,11.11535066510109,7,300
0.1,1,49000,0.1813718014858701,1.8220735785953175,1.017241817694997,66,43,42.85714285714285,9.977525765848126,7,300
0.1,1,50000,0.1811079015687706,1.8220289855072465,1.0278513966457254,60,57,37.5,14.439529078193653,8,300
0.1,1,51000,0.181516364162562,1.822051282051282,1.0212157358015177,66,56,33.333333333333336,16.964014199999298,9,300
0.1,1,52000,0.1812616351855246,1.821984392419175,1.0326318917425663,58,44,33.333333333333336,11.832159566199232,9,300
0.1,1,53000,0.1804356972751337,1.8220289855072465,1.0112219915315923,57,51,42.85714285714285,9.81876587282262,7,300
0.1,1,54000,0.1802264818711992,1.8221404682274247,1.004446525274649,52,43,37.5,8.930285549745875,8,300
0.1,1,55000,0.1804581567906641,1.822118171683389,1.0169814897919771,49,46,33.333333333333336,9.510228411791404,9,300
0.1,1,56000,0.1806487886549908,1.8220735785953175,1.0261816943038866,46,44,33.333333333333336,9.345230512584124,9,300
0.1,1,57000,0.1798882275992252,1.8221404682274247,1.0171990625892435,50,44,37.5,8.12403840463596,8,300
0.1,1,58000,0.1794503446184944,1.8220958751393532,1.0065505502079393,43,39,33.333333333333336,6.073622386096199,9,300
0.1,1,59000,0.1804632377398809,1.8220958751393532,1.014171534737478,50,49,33.333333333333336,11.633285577743433,9,300
0.1,1,60000,0.1796999313480058,1.8220735785953175,1.0135847023065812,56,49,42.85714285714285,7.548482750641661,7,300
0.1,1,61000,0.1791050729702752,1.8220289855072465,0.9992483834768848,54,43,33.333333333333336,12.71918935222594,9,300
0.1,1,62000,0.1788955056787087,1.822051282051282,1.0107922990310956,46,42,33.333333333333336,8.819171036881968,9,300
0.1,1,63000,0.1784144829077533,1.8220735785953175,1.0113994578278491,59,55,50.0,8.286535263104035,6,300
0.1,1,64000,0.178888825003969,1.822118171683389,1.001272296675572,66,55,42.85714285714285,12.264100589334143,7,300
0.1,1,65000,0.1797817877191129,1.822118171683389,1.0249166982038045,52,49,37.5,9.233092656309694,8,300
0.1,1,66000,0.1805346087080785,1.8220289855072465,1.0172463062291752,60,53,42.85714285714285,10.986076531274502,7,300
0.1,1,67000,0.1811757980830911,1.8220289855072465,1.0216275799755927,52,44,37.5,11.379806676741042,8,300
0.1,1,68000,0.1801718365442611,1.8220735785953175,1.0082365661173431,50,46,37.5,11.853269591129695,8,300
0.1,1,69000,0.1800500745786642,1.8220289855072465,1.028502883551422,58,53,42.85714285714285,12.91099831736572,7,300
0.1,1,70000,0.18000171422609,1.8220289855072465,1.0087251880766712,54,53,37.5,12.539936203984452,8,300
0.1,1,71000,0.1791709589286898,1.8220735785953175,1.0014297529858804,53,48,37.5,11.113055385446437,8,300
0.1,1,72000,0.1790294095737061,1.8220735785953175,1.0015671090130307,58,57,42.85714285714285,12.653949935873456,7,300
